year,region,country,sex,number
2010,South-East Asia,Bhutan,Female,12.3
2010,South-East Asia,Indonesia,Female,15.7
2011,South-East Asia,Nepal,Female,28.4
2011,South-East Asia,Bangladesh,Female,38.8
2012,South-East Asia,Thailand,Female,8.4
2012,South-East Asia,Democratic People's Republic of Korea,Female,15
2012,South-East Asia,Sri Lanka,Female,26.8
2013,South-East Asia,Indonesia,Female,19.4
2013,South-East Asia,Bangladesh,Female,36.9
1970,Western Pacific,Solomon Islands,Female,15.5
1970,Western Pacific,Singapore,Female,10.8
1982,Western Pacific,Papua New Guinea,Female,23
1989,Western Pacific,Solomon Islands,Female,14.2
1990,Western Pacific,China,Female,12.1
1992,Western Pacific,Viet Nam,Female,35.7
1992,Western Pacific,China,Female,14.6
1995,Western Pacific,China,Female,9.6
1996,Western Pacific,Cambodia,Female,38.2
1998,Western Pacific,China,Female,6.6
1999,Western Pacific,Mongolia,Female,10.4
1999,Western Pacific,Viet Nam,Female,30.3
2000,Western Pacific,Singapore,Female,2.9
2000,Western Pacific,Cambodia,Female,38.6
2000,Western Pacific,Mongolia,Female,10.6
2000,Western Pacific,Viet Nam,Female,26.7
2000,Western Pacific,Viet Nam,Female,27.6
2000,Western Pacific,China,Female,7.5
2000,Western Pacific,Lao People's Democratic Republic,Female,34.5
2002,Western Pacific,China,Female,6.5
2002,Western Pacific,Viet Nam,Female,23
2003,Western Pacific,Viet Nam,Female,24.2
2003,Western Pacific,Philippines,Female,21.3
2003,Western Pacific,Republic of Korea,Female,0.6
2004,Western Pacific,Fiji,Female,5.7
2004,Western Pacific,Viet Nam,Female,23.5
2004,Western Pacific,Mongolia,Female,4.2
2005,Western Pacific,China,Female,4.2
2005,Western Pacific,Papua New Guinea,Female,14.6
2005,Western Pacific,Viet Nam,Female,22.6
2005,Western Pacific,Cambodia,Female,27.1
2005,Western Pacific,Mongolia,Female,5.3
2006,Western Pacific,Viet Nam,Female,21.9
2006,Western Pacific,Lao People's Democratic Republic,Female,30.6
2006,Western Pacific,Malaysia,Female,12.7
2007,Western Pacific,Vanuatu,Female,9
2007,Western Pacific,Viet Nam,Female,22
2008,Western Pacific,Philippines,Female,20.6
2008,Western Pacific,Viet Nam,Female,19.9
2008,Western Pacific,Cambodia,Female,29.2
2008,Western Pacific,Republic of Korea,Female,0.3
2009,Western Pacific,Papua New Guinea,Female,26.7
2009,Western Pacific,Viet Nam,Female,16.6
2009,Western Pacific,Kiribati,Female,12.4
2009,Western Pacific,Brunei Darussalam,Female,8.5
2009,Western Pacific,China,Female,4.5
2010,Western Pacific,Viet Nam,Female,12.1
2010,Western Pacific,China,Female,3.3
2010,Western Pacific,Japan,Female,3.3
2010,Western Pacific,Mongolia,Female,4
2010,Western Pacific,Cambodia,Female,29.1
2011,Western Pacific,Philippines,Female,20.3
2011,Western Pacific,Lao People's Democratic Republic,Female,26.2
1986,Africa,Senegal,Male,19.3
1987,Africa,Burundi,Male,32.6
1987,Africa,Mali,Male,30.9
1988,Africa,Ghana,Male,24.8
1988,Africa,Zimbabwe,Male,8.7
1988,Africa,Togo,Male,22.6
1988,Africa,Uganda,Male,20.4
1990,Africa,Mauritania,Male,44.6
1990,Africa,Nigeria,Male,37
1991,Africa,Cameroon,Male,17.6
1991,Africa,United Republic of Tanzania,Male,27
1992,Africa,Burkina Faso,Male,31.7
1992,Africa,Madagascar,Male,38.3
1992,Africa,Malawi,Male,26.3
1992,Africa,Zambia,Male,22.4
1992,Africa,Namibia,Male,23.4
