date,site,Length (mm),Weight (gm),Sex,Stage,Count
4/12/2009,Shadow Brook,461,,Male,Ripe,1
4/17/2009,Cripple Creek,461,,Male,Ripe,1
4/18/2009,Shadow Brook,461,,Male,Ripe,1
4/15/2013,Hayden Creek,461,,Male,Ripe,1
4/15/2013,Shadow Brook,461,,Male,Ripe,1
4/17/2013,Hayden Creek,461,,Male,Ripe,1
4/17/2013,Hayden Creek,461,,Male,Ripe,1
4/17/2013,Hayden Creek,461,,Male,Ripe,1
4/17/2013,Shadow Brook,461,,Male,Ripe,1
4/18/2013,Shadow Brook,461,,Male,Ripe,1
4/18/2013,Shadow Brook,461,,Male,Ripe,1
4/18/2013,Shadow Brook,461,,Male,Ripe,1
4/18/2013,Shadow Brook,461,,Male,Ripe,1
4/21/2013,Shadow Brook,461,,Male,Ripe,1
4/10/2017,Hayden Creek,461,,Male,Ripe,1
4/7/2009,Hayden Creek,462,737,Male,Ripe,1
4/10/2009,Hayden Creek,462,,Male,Ripe,1
4/16/2013,Hayden Creek,462,,Male,Ripe,1
4/17/2013,Hayden Creek,462,,Male,Ripe,1
4/18/2013,Shadow Brook,462,,Male,Ripe,1
4/18/2013,Shadow Brook,462,,Male,Ripe,1
4/12/2017,Hayden Creek,462,,Female,Hard,1
4/13/2017,Cripple Creek,462,,Male,Ripe,1
4/23/2018,Shadow Brook,462,803,Male,Ripe,1
4/17/2019,Cripple Creek,462,,Male,Ripe,1
4/16/2009,Cripple Creek,463,,Male,Ripe,1
4/16/2009,Cripple Creek,463,,Male,Spent,1
4/16/2013,Hayden Creek,463,,Male,Ripe,1
4/10/2017,Shadow Brook,463,,Male,Ripe,1
4/10/2017,Shadow Brook,463,,Male,Ripe,1
4/10/2017,Shadow Brook,463,,Male,Ripe,1
4/12/2017,Hayden Creek,463,,Male,Ripe,1
4/17/2017,Shadow Brook,463,,Male,Ripe,1
4/16/2009,Cripple Creek,464,,Male,Ripe,1
4/17/2009,Cripple Creek,464,,Male,Ripe,1
4/16/2013,Hayden Creek,464,,Male,Ripe,1
4/16/2013,Shadow Brook,464,,Female,Spent,1
4/16/2013,Shadow Brook,464,,Male,Ripe,1
4/18/2013,Shadow Brook,464,,Male,Ripe,1
4/22/2013,Shadow Brook,464,,Male,Ripe,1
4/22/2013,Shadow Brook,464,,Male,Ripe,1
4/10/2017,Shadow Brook,464,,Male,Ripe,1
4/10/2017,Shadow Brook,464,,Male,Ripe,1
4/5/2009,Hayden Creek,465,,Male,Ripe,1
4/12/2009,Shadow Brook,465,,Male,Ripe,1
4/20/2009,Shadow Brook,465,,Male,Ripe,1
4/17/2013,Hayden Creek,465,,Male,Ripe,1
4/18/2013,Shadow Brook,465,,Male,Ripe,1
4/10/2017,Shadow Brook,465,,Male,Ripe,1
4/12/2017,Hayden Creek,465,,Male,Ripe,1
4/19/2018,Shadow Brook,465,1042,Male,Ripe,1
4/5/2009,Shadow Brook,466,,Female,Hard,1
4/7/2009,Hayden Creek,466,1077,Male,Ripe,1
4/10/2009,Hayden Creek,466,,Male,Ripe,1
4/18/2009,Shadow Brook,466,,Male,Ripe,1
4/18/2013,Shadow Brook,466,,Male,Ripe,1
4/10/2017,Shadow Brook,466,,Male,Ripe,1
4/10/2017,Shadow Brook,466,,Male,Ripe,1
4/10/2017,Shadow Brook,466,,Male,Ripe,1
4/11/2017,Shadow Brook,466,,Male,Ripe,1
